Periode,Supplier,Kode Article,Nama Article,Qty
2025-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,167.0
2025-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,232.0
2025-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,415.0
2025-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,228.0
2025-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,267.0
2025-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,314.0
2025-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,268.0
2025-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,259.0
2025-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,278.0
2025-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,241.0
2025-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,272.0
2026-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,223.0
2021-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,40.0
2021-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,20.0
2022-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,60.0
2022-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,0.0
2022-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,0.0
2022-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,0.0
2022-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,0.0
2022-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,0.0
2022-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,48.0
2022-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,105.0
2022-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,181.0
2022-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,161.0
2022-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,95.0
2022-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,95.0
2023-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,118.0
2023-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,119.0
2023-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,131.0
2023-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,115.0
2023-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,165.0
2023-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,134.0
2023-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,143.0
2023-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,94.0
2023-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,56.0
2023-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,72.0
2023-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,76.0
2023-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,84.0
2024-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,84.0
2024-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,63.0
2024-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,68.0
2024-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,177.0
2024-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,229.0
2024-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,224.0
2024-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,233.0
2024-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,176.0
2024-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,257.0
2024-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,203.0
2024-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,141.0
2024-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,273.0
2025-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,361.0
2025-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,213.0
2025-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,217.0
2025-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,362.0
2025-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,338.0
2025-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,290.0
2025-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,334.0
2025-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,212.0
2025-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,280.0
2025-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,167.0
2025-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,175.0
2025-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,288.0
2026-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003786840,ANTANGIN HABBATUSAUDA 15ML,180.0
2020-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,144.0
2020-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,120.0
2020-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,152.0
2020-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,52.0
2020-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,156.0
2020-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,157.0
2020-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,476.0
2020-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,456.0
2020-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,461.0
2020-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,440.0
2020-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,417.0
2021-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,498.0
2021-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,444.0
2021-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,345.0
2021-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,235.0
2021-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,287.0
2021-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,0.0
2021-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003782354,ANTANGIN JRG SYRUP 15ML,0.0
